Prix,Titre,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Équipements
545 000 DH,Mercedes CLS 350d 2019,2019,Automatique,Diesel,110 000 - 119 999,Mercedes-Benz,Classe CLS,5,Importée neuve,Non,11 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
132 000 DH,volkswagen passat cc,2009,Automatique,Diesel,250 000 - 299 999,Volkswagen,Passat CC,5,Dédouanée,Non,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
240 000 DH,audi,2012,Automatique,Diesel,25 000 - 29 999,Audi,Q5,5,Dédouanée,Non,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Ordinateur de bord, Radar de recul, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
37 000 DH,سطروين كسسارا ديزل يدوي 2002 في بوجدور,2002,Manuelle,Diesel,5 000 - 9 999,Citroen,Xsara,5,WW au Maroc,Non,7 CV,Très bon,Aucun
134 000 DH,Clio 4 intense,2019,Manuelle,Diesel,130 000 - 139 999,Renault,Clio,5,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
175 000 DH,jeep Grand Cherokee modèle 2018 tout,2018,Automatique,Diesel,250 000 - 299 999,Jeep,Grand Cherokee,5,WW au Maroc,Non,12 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
600 000 DH,Porsche Macan,2020,Automatique,Essence,45 000 - 49 999,Porsche,Macan,5,WW au Maroc,,11 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
,skoda octavia,2018,,Diesel,,,,,,,8 CV,,Aucun
320 000 DH,Ford Mustang Essence Automatique 2018 à Marrakech,2018,Automatique,Essence,110 000 - 119 999,Ford,Mustang,3,Importée neuve,Non,13 CV,Très bon,Aucun
,Citroen C-Elysée Diesel Manuelle 2019 à Agadir,2019,Manuelle,Diesel,110 000 - 119 999,Citroen,C-Elysée,5,WW au Maroc,Oui,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
